Gene1	Gene2	EdgeDirection	EdgeType	pValue	InKnownNetwork
CD79B	HLA-A	-->	Co-occurrence	1.9119874665361805e-06	False
DUSP2	TET2	---	Co-occurrence	0.000575728718890058	True
BTG1	KMT2D	-->	Co-occurrence	9.535474115180239e-05	False
SGK1	SOCS1	---	Co-occurrence	0.00014560322207857944	True
SOCS1	HIST1H1E	-->	Co-occurrence	2.0098771236424076e-05	True
TNFAIP3	B2M	-->	Co-occurrence	0.0004676859010701988	False
IRF4	ETV6	-->	Co-occurrence	0.00017944837352466483	False
MEF2B	EZH2	-->	Co-occurrence	0.0008875333239448239	False
BCL2	FOXO1	-->	Co-occurrence	0.00024446981390237137	False
PRDM1	MYD88	-->	Co-occurrence	3.6658628728303524e-05	False
TNFRSF14	BCL2	-->	Co-occurrence	2.8520875010556126e-08	True
MYD88	PIM1	-->	Co-occurrence	1.494197263051868e-18	True
MYD88	CD79B	-->	Co-occurrence	3.0706403750580563e-12	True
EZH2	BCL2	-->	Co-occurrence	2.0533941970850906e-09	True
CREBBP	STAT6	-->	Co-occurrence	2.7309621788182177e-05	False
CD79B	PIM1	-->	Co-occurrence	3.270641012228178e-13	True
PIM1	KLHL14	-->	Co-occurrence	7.829846882315199e-05	True
EZH2	GNA13	-->	Co-occurrence	2.110735237978046e-05	True
TNFRSF14	CREBBP	-->	Co-occurrence	1.859875278168686e-06	True
TBL1XR1	MYD88	-->	Co-occurrence	9.478369155416857e-09	True
MYD88	ETV6	-->	Co-occurrence	9.615691018310059e-13	True
PIM1	IRF4	-->	Co-occurrence	1.2387765419803504e-09	True
BCL2	CREBBP	-->	Co-occurrence	9.991640745504755e-09	False
EZH2	B2M	-->	Co-occurrence	6.0191414306392464e-05	True
PIM1	EZH2	-->	Mutual exclusivity	2.4710178505016806e-06	True
HLA-A	CD58	-->	Co-occurrence	0.0009154620996990979	False
BCL2	KMT2D	-->	Co-occurrence	2.665805089747085e-07	False
SOCS1	HLA-A	-->	Co-occurrence	0.0001399740703624841	False
HLA-A	DTX1	-->	Co-occurrence	4.87754426351141e-07	False
ARID1A	TNFAIP3	-->	Co-occurrence	0.0005121598497025145	False
KMT2D	TP53	---	Co-occurrence	2.6237960920921723e-09	False
DTX1	HIST1H1E	---	Co-occurrence	2.39542633825139e-05	False
EZH2	TNFRSF14	---	Co-occurrence	7.348354293528726e-12	True
